active,vendor_name,vpc,unit_cost,quantity
1,Swarovski,EL-1R4L20-02,1100.25,1
1,Swarovski,EL-1H4L20-02,1112.25,1
1,Swarovski,PO-1M2LIC-0,393.75,1
1,Swarovski,PO-1M2LH0-0,393.75,0
1,Swarovski,PO-1F2LLA-0,1400.25,10
1,Swarovski,PO-1L2LLA-0,1400.25,0
1,Swarovski,NL-1F4LIB-0,1293.75,1
1,Swarovski,NL-1F4LB0-0,1293.75,1
1,Swarovski,NL-1L4LIB-0,1318.5,1
1,Swarovski,NL-1L4LB0-0,1318.5,1
1,Swarovski,RF-1H3LB0-0,1875,0
1,Swarovski,RF-1R3LB0-0,1824.75,1
1,Swarovski,PO-1E2LHA-01,412.5,0
1,Swarovski,PO-1E2LBA-01,412.5,0
1,Swarovski,PO-1E2LHA-02,412.5,0
1,Swarovski,PO-1E2LBA-02,412.5,0
1,Swarovski,PO-1P2LHA-01,437.25,0
1,Swarovski,PO-1P2LBA-01,437.25,0
1,Swarovski,PO-1P2LHA-02,437.25,0
1,Swarovski,PO-1P2LBA-02,437.25,0
1,Swarovski,PO-1L2LHA-21,662.25,1
1,Swarovski,PO-1F2LHA-21,650.25,0
1,Swarovski,PO-1L2LBA-21,662.25,1
1,Swarovski,PO-1F2LBA-21,650.25,0
1,Swarovski,PO-1L2LHA-22,662.25,1
1,Swarovski,PO-1L2LBA-20,662.25,1
1,Swarovski,PO-1F2LBA-20,650.25,0
1,Swarovski,PO-1L2LBA-22,662.25,1
1,Swarovski,PO-1F2LHA-22,650.25,0
1,Swarovski,EL-1S4L20-01,1487.25,1
1,Swarovski,EL-1Q4L20-01,1475.25,1
1,Swarovski,PO-1F2LBA-22,650.25,0
1,Swarovski,LC-1J4L20-0,1231.5,0
1,Swarovski,LC-1G4L20-0,1168.5,1
1,Swarovski,LC-1K4L20-0,1194,1
1,Swarovski,PO-1L2LHA-20,662.25,1
1,Swarovski,PO-1F2LHA-20,650.25,0
1,Swarovski,DF-1H1M90-0,606,1
1,Swarovski,DF-1H1M20-0,662.25,0
1,Swarovski,DF-1C0M20-0,624.75,1
1,Swarovski,DF-1F1M90-0,537.75,1
1,Swarovski,RF-1H3LIA-02,1875,0
1,Swarovski,RF-1R3LIA-02,1824.75,0
1,Swarovski,NL-1H4LB0-0,1569,1
1,Swarovski,DF-1C0M90-0,506.25,1
1,Swarovski,NL-1R4LB0-0,1537.5,1
1,Swarovski,NL-1S4LB0-0,1593.75,1
1,Swarovski,SF-1E2EB0-0,825,10
